Registro de Trazas eliminadas
________________________________________________________________________________________
Usuario:lixanis          Acción:Modificado          Tipo de componente:UPS          Num inventario:004-30          Fecha y hora:01-08-2014 10:46:08          
Usuario:lixanis          Acción:Modificado          Tipo de componente:UPS          Num inventario:006-17          Fecha y hora:01-08-2014 10:58:39          
Usuario:yaneisi          Acción:Modificado          Tipo de componente:UPS          Num inventario:0080-7          Fecha y hora:01-08-2014 11:10:37          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Impresora          Num inventario:bgbg          Tipo de componente:Impresora          Fecha y hora:02-06-2014 14:14:26          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Impresora          Num inventario:bgbg          Tipo de componente:Impresora          Fecha y hora:02-06-2014 14:14:57          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Impresora          Num inventario:bgbg          Tipo de componente:Impresora          Fecha y hora:02-06-2014 14:15:38          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Fotocopiadora          Num inventario:bgbg          Tipo de componente:Fotocopiadora          Fecha y hora:02-06-2014 14:16:06          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Fotocopiadora          Num inventario:nhnh          Tipo de componente:Fotocopiadora          Fecha y hora:02-06-2014 14:16:17          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Móvil          Num inventario:00-473          Tipo de componente:Móvil          Fecha y hora:03-04-2014 14:04:48          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Móvil          Num inventario:ki9ki9k9i          Tipo de componente:Móvil          Fecha y hora:03-04-2014 14:09:26          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Monitor          Num inventario:074-002          Tipo de componente:Monitor          Fecha y hora:03-04-2014 17:57:53          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Móvil          Num inventario:11111          Tipo de componente:Móvil          Fecha y hora:04-04-2014 14:34:59          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Móvil          Num inventario:11111          Tipo de componente:Móvil          Fecha y hora:04-04-2014 14:37:18          
Usuario:rafael          Acción:Modificado          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:05-05-2014 08:34:31          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:05-05-2014 14:51:06          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:05-05-2014 16:19:48          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:06-05-2014 11:49:05          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:0014-1          Tipo de componente:Computadora          Fecha y hora:06-05-2014 18:59:54          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:0014-1          Tipo de componente:Computadora          Fecha y hora:06-05-2014 19:00:13          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:oooooo          Tipo de componente:Computadora          Fecha y hora:07-04-2014 15:10:37          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:iiiiii          Tipo de componente:Computadora          Fecha y hora:07-04-2014 15:39:23          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:iiiiii          Tipo de componente:Computadora          Fecha y hora:07-04-2014 15:52:41          
Usuario:rafael          Acción:Modificado          Tipo de componente:MÃ³vil          Num inventario:00-476          Tipo de componente:MÃ³vil          Fecha y hora:07-04-2014 15:55:32          
Usuario:rafael          Acción:Modificado          Tipo de componente:MÃ³vil          Num inventario:00-476          Tipo de componente:MÃ³vil          Fecha y hora:07-04-2014 15:55:43          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:iiiiii          Tipo de componente:Computadora          Fecha y hora:07-04-2014 19:48:09          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:oooooo          Tipo de componente:Computadora          Fecha y hora:07-04-2014 19:50:38          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:oooooo          Tipo de componente:Computadora          Fecha y hora:07-04-2014 19:52:46          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:oooooo          Tipo de componente:Computadora          Fecha y hora:07-04-2014 19:53:11          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Computadora          Num inventario:oooooo          Tipo de componente:Computadora          Fecha y hora:07-04-2014 19:53:38          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Computadora          Num inventario:iiiiii          Tipo de componente:Computadora          Fecha y hora:07-04-2014 19:53:44          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:09-04-2014 17:59:05          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:09-04-2014 18:01:57          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:09-04-2014 18:02:05          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:09-04-2014 19:25:19          
Usuario:rafael          Acción:Modificado          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:09-04-2014 19:31:50          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:20:00          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:21:41          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:22:43          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:23:35          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:25:32          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:26:20          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:30:53          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:32:25          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:33:53          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:36:14          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:38:22          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:40:10          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:40:51          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:41:41          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 12:53:14          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 17:15:31          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:11-04-2014 17:16:04          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Seleccionar          Num inventario:          Tipo de componente:Seleccionar          Fecha y hora:11-06-2014 14:08:50          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:13-05-2014 12:20:44          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 07:43:45          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 11:44:44          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 11:45:54          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 14:43:47          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 14:44:28          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 15:09:51          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 15:18:10          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 15:19:50          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 15:21:11          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 15:27:36          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 18:31:50          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 18:32:35          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 18:33:18          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 18:33:50          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 18:34:34          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 18:36:23          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 19:25:10          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 19:26:03          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:14-04-2014 19:27:42          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:222222          Tipo de componente:Computadora          Fecha y hora:16-04-2014 13:14:27          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:111111          Tipo de componente:Computadora          Fecha y hora:16-04-2014 17:09:39          
